codigo,producto,stock,caducidad,icono
LCH,LATA DE CERVEZA HEINEKEN,0,,
LDES,LATA DESPERADOS 50 CC,0,,
LMA5,PET LIPTON MANGO MARACUYA 500,0,,
LMEN,LATA MONSTER ENERGY,0,,
LMML,LATA MONSTER MANGO LOCO,0,,
LMUW,LATA MONSTER ULTRA WHITE,0,,
LMZE,LATA MONSTER ZERO,0,,
LRBG,LATA RED BULL ICE GUMMY 250 ML,0,,
LRBR,LATA RED BULL 250 ML,0,,
LT500,PET LIPTON ZERO 500ML,0,,
LTZ33,LATA LIPTON ZERO,0,,
MAC4,TARRINA MACADAMIA 460 ML,0,,
MAC9,TARRINA MACADAMIA 95 ML,0,,
MCO17,MANTELES COLEGIOS 2017,0,,
MHD,SOBRES MOSTAZA,0,,
MIGAS,ZZ MIGAS,0,,
MIKPZ,MIKOLAPIZ,0,,
MOBIT,MOZZARELLA BITES,0,,
MXFS,MIX FLORES SECAS 50GR,0,,
NUGGET,NUGGETS,0,,
ORE,OREGANO MOLIDO,0,,
PAGM,ME PAPEL ANTIGRASA MENEO,0,,
PAHCOM,PAPEL DE HORNO PARA COMPLEMENT,0,,
PANT,PAPEL ANTIGRASA,0,,
PANTRO,BACON ASADO TROCEADO 6X500GR,0,,
PAXL,PAPEL ANTIGRASA XL,0,,
PBB3,PAN BURGER BRIOCHE 30 UDS,0,,
PE,PEPPERONI,0,,
PEGM,PEGATINAS MINIS (TP),0,,
PGL1,PEGATINA LUMINOSA TPZ 1,0,,
PGL2,PEGATINA LUMINOSA TPZ 2,0,,
PGTP,PATATAS GAJO (TP),0,,
PI,PIÑA,0,,
PIKN,ME SALSA PICANTONA 32X45GR,0,,
PKTAI,PASTA KATAIFI 500GR,0,,
PMASD,PIMIENTO ASADO,0,,
PNFCC,PAN FOCACCIA,0,,
PR1L,PET PEPSI REGULAR 1L,0,,
PR33,LATA PEPSI REGULAR,0,,
PR500,PET PEPSI REGULAR 500ML,0,,
PUBE,YY PULLED BEEF,0,,
PUPO,PULLED PORK REFRIGERADO 500GR,0,,
PVN,PIMIENTO VERDE CONGELADO,0,,
PZ1L,PET PEPSI ZERO 1L,0,,
